image_id,filename,label
1,1.jpg,0
2,2.jpg,0
3,3.jpg,0
4,4.jpg,0
5,5.jpg,0
6,6.jpg,0
7,7.jpg,0
8,8.jpg,0
9,9.jpg,0
10,10.jpg,0
11,11.jpg,0
12,12.jpg,0
13,13.jpg,0
14,14.jpg,0
15,15.jpg,0
16,16.jpg,0
17,17.jpg,0
18,18.jpg,1
19,19.jpg,0
20,20.jpg,0
21,21.jpg,0
22,22.jpg,0
23,23.jpg,0
24,24.jpg,0
25,25.jpg,0
26,26.jpg,0
27,27.jpg,0
28,28.jpg,0
29,29.jpg,0
30,30.jpg,0
31,31.jpg,0
32,32.jpg,0
33,33.jpg,0
34,34.jpg,0
35,35.jpg,0
36,36.jpg,0
37,37.jpg,0
38,38.jpg,0
39,39.jpg,0
40,40.jpg,0
41,41.jpg,0
42,42.jpg,0
43,43.jpg,0
44,44.jpg,0
45,45.jpg,0
46,46.jpg,0
47,47.jpg,0
48,48.jpg,0
49,49.jpg,0
50,50.jpg,0
51,51.jpg,0
52,52.jpg,0
53,53.jpg,0
54,54.jpg,0
55,55.jpg,0
56,56.jpg,0
57,57.jpg,0
58,58.jpg,0
59,59.jpg,0
60,60.jpg,0
61,61.jpg,0
62,62.jpg,0
63,63.jpg,1
64,64.jpg,0
65,65.jpg,0
66,66.jpg,0
67,67.jpg,0
68,68.jpg,0
69,69.jpg,0
70,70.jpg,0
71,71.jpg,0
72,72.jpg,0
73,73.jpg,0
74,74.jpg,0
75,75.jpg,0
76,76.jpg,0
77,77.jpg,0
78,78.jpg,0
79,79.jpg,0
80,80.jpg,0
81,81.jpg,0
82,82.jpg,0
83,83.jpg,0
84,84.jpg,0
85,85.jpg,0
86,86.jpg,0
87,87.jpg,0
88,88.jpg,0
89,89.jpg,0
90,90.jpg,0
91,91.jpg,0
92,92.jpg,0
93,93.jpg,0
94,94.jpg,0
95,95.jpg,0
96,96.jpg,0
97,97.jpg,0
98,98.jpg,0
99,99.jpg,0
100,100.jpg,0
101,101.jpg,1
